name,cuisine,location,rating,num_of_rating,price_for_two,url
Farina by Anardana,"Italian, Pizzas","South Campus, South Campus",4.9,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Street Food Karvaan,"Street Food, Fast Food","PREET VIHAR, KHUREJI KHAS , PREET VIHAR",4.9,20+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Momo Maker,"Snacks, Tandoor","CentraL Market, Lajpat Nagar",4.7,20+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Sushito by Terra Food Co,"Sushi, Asian","Lajpat Nagar, Lajpat Nagar",4.7,20+ ratings,₹ 700,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Too mikkii tapas,"Italian, Continental","Khan Market, south campus",4.7,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Moets Kulfi,"Desserts, Beverages","Defence colony market, Defence Colony",4.7,50+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Behrouz Biryani - Royal & Safe,"Biryani, Mughlai","Near Metro Station, Shakarpur Khas",4.7,1K+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Ping's Cafe Orient,"Chinese, Asian","Lodhi Colony Market, Lodhi Colony",4.7,20+ ratings,₹ 1500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Fat Lulu's Cafe & Bar,Italian,"Khan Market, Khan Market",4.7,20+ ratings,₹ 800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Saini Juice,Beverages,"Near Radhe Krishna Mandir, Gautam Nagar",4.6,100+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
GANNU'S SHAKES AND SNACKS,"Snacks, Beverages","Laxmi Nagar, Shahdara",4.6,20+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Too mikkii tapas now baking,"Italian, Continental","South Extension, South Extension",4.6,20+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
PUNIKAR'S Mumbai Street Food,South Indian,"PANDAV NAGAR, Mayur Vihar",4.6,20+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Old Delhi,"Mughlai, North Indian","Lajpat Nagar, Defence Colony",4.6,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Zoet Ice Cream and Desserts,"Desserts, Bakery","Maharani Bagh, Defence Colony",4.6,20+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
