name,url
Farina by Anardana,https://swiggy.com/restaurants/farina-by-anardana-south-campus-delhi-512873
Street Food Karvaan,https://swiggy.com/restaurants/street-food-karvaan-preet-vihar-khureji-khas-preet-vihar-delhi-523196
Momo Maker,https://swiggy.com/restaurants/momo-maker-central-market-lajpat-nagar-delhi-340739
Sushito by Terra Food Co,https://swiggy.com/restaurants/sushito-by-terra-food-co-lajpat-nagar-delhi-484534
Too mikkii tapas,https://swiggy.com/restaurants/too-mikkii-tapas-khan-market-south-campus-delhi-465625
Moets Kulfi,https://swiggy.com/restaurants/moets-kulfi-market-defence-colony-delhi-29751
Behrouz Biryani - Royal & Safe,https://swiggy.com/restaurants/behrouz-biryani-royal-and-safe-near-metro-station-shakarpur-khas-delhi-15671
Ping's Cafe Orient,https://swiggy.com/restaurants/pings-cafe-orient-market-lodhi-colony-delhi-27036
Fat Lulu's Cafe & Bar,https://swiggy.com/restaurants/fat-lulus-cafe-and-bar-khan-market-delhi-369713
Saini Juice,https://swiggy.com/restaurants/saini-juice-near-radhe-krishna-mandir-gautam-nagar-delhi-52275
GANNU'S SHAKES AND SNACKS,https://swiggy.com/restaurants/gannus-shakes-and-snacks-laxmi-nagar-shahdara-delhi-304096
Too mikkii tapas now baking,https://swiggy.com/restaurants/too-mikkii-tapas-now-baking-south-extension-delhi-463781
PUNIKAR'S Mumbai Street Food,https://swiggy.com/restaurants/punikars-mumbai-street-food-pandav-nagar-mayur-vihar-delhi-154659
The Old Delhi,https://swiggy.com/restaurants/the-old-delhi-lajpat-nagar-defence-colony-delhi-569524
Zoet Ice Cream and Desserts,https://swiggy.com/restaurants/zoet-ice-cream-and-desserts-maharani-bagh-defence-colony-delhi-83680
AKU'S - The Brrgrr Co.,https://swiggy.com/restaurants/akus-the-brrgrr-co-south-extension-delhi-435537
SANADIGE,https://swiggy.com/restaurants/sanadige-chanakyapuri-delhi-257021
Azam's Mughlai,https://swiggy.com/restaurants/azams-mughlai-khan-market-delhi-delhi-8448
Salad Days,https://swiggy.com/restaurants/salad-days-gole-market-delhi-526516
Caffe Tonino,https://swiggy.com/restaurants/caffe-tonino-pvr-plaza-connaught-place-delhi-14607
Third Wave Coffee Roasters,https://swiggy.com/restaurants/third-wave-coffee-roasters-connaught-place-delhi-554643
Havmor Havfunn ice cream,https://swiggy.com/restaurants/havmor-havfunn-ice-cream-m-block-cp-delhi-400890
Natural Ice Cream,https://swiggy.com/restaurants/natural-ice-cream-l-block-outer-circle-connaught-place-delhi-27797
Bhalla 16,https://swiggy.com/restaurants/bhalla-16-lajpat-nagar-delhi-438118
Naga Pantry,https://swiggy.com/restaurants/naga-pantry-hauz-khas-delhi-527311
Downtown Delhi,https://swiggy.com/restaurants/downtown-delhi-laxmi-nagar-delhi-572530
Fabcafe By Fabindia,https://swiggy.com/restaurants/fabcafe-by-fabindia-lajpat-nagar-delhi-111547
Theos - Patisserie,https://swiggy.com/restaurants/theos-patisserie-south-campus-rama-krishna-puram-delhi-32092
Papacream,https://swiggy.com/restaurants/papacream-south-extension-delhi-458342
PAL CORNER,https://swiggy.com/restaurants/pal-corner-south-campus-delhi-559438
Chimney Sizzler,https://swiggy.com/restaurants/chimney-sizzler-chankyapuri-chanakyapuri-delhi-12027
